[03/04 19:16:12]    DEBUG | Initial log file: logs/166fc7fa-451c-4cdd-bf75-bd3d88041561.log (log.py:100)
[03/04 19:16:12]     INFO | It's strongly recommend to use a config.yml file. Follow these links for more details: https://docs.gramaddict.org/#/configuration and https://github.com/GramAddict/bot/tree/master/config-examples (bot_flow.py:63)
[03/04 19:16:15]    DEBUG | Installed via pip. (utils.py:141)
[03/04 19:16:15]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:142)
[03/04 19:16:18]     INFO | Checking for updates... (utils.py:64)
[03/04 19:16:19]     INFO | Bot is updated. (utils.py:78)
[03/04 19:16:19]     INFO | GramAddict v.3.2.9 (utils.py:81)
[03/04 19:16:19]     INFO | Loading plugins . . . (plugin_loader.py:30)
[03/04 19:16:19]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[03/04 19:16:19]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[03/04 19:16:19]    DEBUG | Arguments used:  (config.py:160)
