[01/09 20:04:23]    DEBUG | Initial log file: logs/dr_dobrev.log (log.py:100)
[01/09 20:04:23]    DEBUG | Installed via pip. (utils.py:141)
[01/09 20:04:23]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:142)
[01/09 20:04:26]     INFO | Checking for updates... (utils.py:64)
[01/09 20:04:27]     INFO | Bot is updated. (utils.py:78)
[01/09 20:04:27]     INFO | GramAddict v.3.2.7 (utils.py:81)
[01/09 20:04:27]     INFO | Loading plugins . . . (plugin_loader.py:30)
[01/09 20:04:27]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[01/09 20:04:27]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[01/09 20:04:27]  WARNING | If you want to use telegram_reports, please type in console: 'pip3 install gramaddict[telegram-reports]' (telegram.py:18)
[01/09 20:04:27]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[01/09 20:04:27]    DEBUG | Arguments used: --config accounts/yourusername/config.yml (config.py:158)
