[01/09 20:02:41]    DEBUG | Initial log file: logs/myusername.log (log.py:100)
[01/09 20:02:41]    DEBUG | Installed via pip. (utils.py:141)
[01/09 20:02:41]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:142)
[01/09 20:02:44]     INFO | Checking for updates... (utils.py:64)
[01/09 20:02:45]     INFO | Bot is updated. (utils.py:78)
[01/09 20:02:45]     INFO | GramAddict v.3.2.7 (utils.py:81)
[01/09 20:02:45]     INFO | Loading plugins . . . (plugin_loader.py:30)
[01/09 20:02:45]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[01/09 20:02:45]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[01/09 20:02:45]  WARNING | If you want to use telegram_reports, please type in console: 'pip3 install gramaddict[telegram-reports]' (telegram.py:18)
[01/09 20:02:45]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[01/09 20:02:45]    DEBUG | Arguments used: --config accounts/yourusername/config.yml (config.py:158)
[01/09 20:02:45]    DEBUG | Config used: {'username': 'myusername', 'app-id': 'com.instagram.android', 'use-cloned-app': False, 'allow-untested-ig-version': False, 'screen-sleep': True, 'screen-record': False, 'speed-multiplier': 1, 'debug': False, 'close-apps': False, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'total-crashes-limit': 5, 'count-app-crashes': False, 'shuffle-jobs': True, 'truncate-sources': '2-5', 'blogger-followers': ['username1', 'username2'], 'blogger-following': ['username1', 'username2'], 'blogger-post-likers': ['username1', 'username2'], 'blogger': ['username1', 'username2'], 'hashtag-likers-top': ['hashtag1', 'hashtag2'], 'hashtag-likers-recent': ['hashtag1', 'hashtag2'], 'hashtag-posts-top': ['hashtag1', 'hashtag2'], 'hashtag-posts-recent': ['hashtag1', 'hashtag2'], 'place-posts-top': ['place1', 'place2'], 'place-posts-recent': ['place1', 'place2'], 'place-likers-top': ['place1', 'place2'], 'place-likers-recent': ['place1', 'place2'], 'interact-from-file': ['usernames1.txt 10-15', 'usernames2.txt 3'], 'posts-from-file': 'posts.txt', 'feed': '2-5', 'watch-video-time': '15-35', 'watch-photo-time': '3-4', 'delete-interacted-users': True, 'unfollow': '10-20', 'unfollow-any': '10-20', 'unfollow-non-followers': '10-20', 'unfollow-any-non-followers': '10-20', 'unfollow-any-followers': '10-20', 'unfollow-from-file': ['usernames1.txt 7-15', 'usernames2.txt 6'], 'sort-followers-newest-to-oldest': False, 'unfollow-delay': 15, 'remove-followers-from-file': ['remove1.txt 5-10', 'remove2.txt 6'], 'delete-removed-followers': True, 'telegram-reports': False, 'interactions-count': '30-40', 'likes-count': '1-2', 'likes-percentage': 100, 'stories-count': '1-2', 'stories-percentage': '30-40', 'carousel-count': '2-3', 'carousel-percentage': '60-70', 'max-comments-pro-user': '1-2', 'interact-percentage': '30-40', 'follow-percentage': '30-40', 'follow-limit': 50, 'skipped-list-limit': '10-15', 'skipped-posts-limit': 5, 'fling-when-skipped': 0, 'min-following': 100, 'total-likes-limit': '120-150', 'total-follows-limit': '40-50', 'total-unfollows-limit': '40-50', 'total-watches-limit': '120-150', 'total-successful-interactions-limit': '120-150', 'total-interactions-limit': '280-300', 'total-comments-limit': '3-5', 'total-pm-limit': '3-5', 'total-scraped-limit': '100-150', 'end-if-likes-limit-reached': True, 'end-if-follows-limit-reached': False, 'end-if-watches-limit-reached': False, 'end-if-comments-limit-reached': False, 'end-if-pm-limit-reached': False, 'working-hours': ['10.15-16.40', '18.15-22.46'], 'time-delta': '10-15', 'repeat': '280-320', 'total-sessions': 1} (config.py:160)
[01/09 20:02:46]    ERROR | Connected devices via adb: 2. Set a device name in your config.yml (utils.py:171)
